Suite/Test/Step Name,Browser,Description,Tag,Start time,End time,Duration,Status
TC_Amazon_validating_ListOfCountries_footerlinks-003,Chrome 121.0.0.0,,,06-02-2024 13:37:20,06-02-2024 13:38:03,43.046s,PASSED
,,,,,,,
Test Cases/Amazon_testcases/TC_Amazon_validating_ListOfCountries_footerlinks-003,Chrome 121.0.0.0,,,06-02-2024 13:37:24,06-02-2024 13:38:03,39.305s,PASSED
Start listener action : sampleBeforeTestCase,Chrome 121.0.0.0,,,06-02-2024 13:37:24,06-02-2024 13:37:39,15.298s,PASSED
"openBrowser("""")",Chrome 121.0.0.0,,,06-02-2024 13:37:39,06-02-2024 13:37:40,0.914s,PASSED
"navigateToUrl(""https://www.amazon.com/"")",Chrome 121.0.0.0,,,06-02-2024 13:37:40,06-02-2024 13:37:42,1.969s,PASSED
"click(findTestObject(""Object Repository/AmazonPages_ListOfCountries_OR/Page_Amazon.com. Spend less. Smile more/a_United States""))",Chrome 121.0.0.0,,,06-02-2024 13:37:42,06-02-2024 13:38:00,18.131s,PASSED
"click(findTestObject(""Object Repository/AmazonPages_ListOfCountries_OR/Page_Go to website/span_United States""))",Chrome 121.0.0.0,,,06-02-2024 13:38:00,06-02-2024 13:38:01,1.017s,PASSED
"click(findTestObject(""Object Repository/AmazonPages_ListOfCountries_OR/Page_Go to website/a_India""))",Chrome 121.0.0.0,,,06-02-2024 13:38:01,06-02-2024 13:38:02,1.015s,PASSED
"click(findTestObject(""Object Repository/AmazonPages_ListOfCountries_OR/Page_Go to website/input_a-button-input""))",Chrome 121.0.0.0,,,06-02-2024 13:38:02,06-02-2024 13:38:03,0.569s,PASSED
closeBrowser(),Chrome 121.0.0.0,,,06-02-2024 13:38:03,06-02-2024 13:38:03,0.196s,PASSED
Start listener action : sampleAfterTestCase,Chrome 121.0.0.0,,,06-02-2024 13:38:03,06-02-2024 13:38:03,0.100s,ERROR
